TIME_PERIOD,Australia,Austria,Belgium,Canada,Chile,China (People’s Republic of),Colombia,Czechia,Denmark,Finland,France,Germany,Greece,Hong Kong (China),Iceland
2012,43.90678121439033,46.17666105606594,42.483621892697336,42.29188660458017,21.458812344386796,11.377990325333649,12.530807648374594,29.476587508934628,44.76157971084484,40.73887347617288,37.84144596248585,44.22931892671524,24.582984261671104,52.15041062937063,42.83465182829889
2013,47.78514634711697,47.53435827504976,43.86414780364536,44.30099197308902,22.29574000328917,12.19241990257888,13.266002140420587,31.048122421001487,46.88313107723618,41.32558282772568,39.772553681261805,45.88878792500558,25.730870915971177,53.51667404931049,45.24308370044053
2014,47.63200461958811,48.369190906481926,45.14748909368281,45.75813311969335,22.650712395263277,12.898346881129855,13.777241960889052,32.81068682726075,47.88068762751744,41.53959890160184,40.39542769724785,47.9385207883136,26.45027749212959,54.51869733019782,46.85365276913504
2015,47.22506970630453,49.63829988670284,46.084238349505945,44.669420194620855,22.553105394046984,13.430240794933706,13.762750907988428,34.227156568372266,48.91923165522471,42.26174381899462,41.06067492535513,48.55819757121696,26.614780713492543,56.04534864901934,50.172009244992296
2016,50.10334660043958,52.37903678868844,48.414638614822536,46.470675160560674,23.384612399514356,14.111189998707196,14.514224377843997,36.62760513267111,51.8142366784249,44.56244081305843,42.984007887264696,51.56969755552588,27.504550259424228,56.75838789696061,54.477409656847854
2017,50.69357661747515,53.885119998435485,50.255854050917776,48.31740402776572,24.47945870674026,14.980645905678838,14.930865719893267,39.62086619950978,55.27041979995848,47.23498874405432,44.52774149334132,54.11027691544576,28.68164776142274,59.26251629920195,56.644702045656686
2018,53.05171965133717,56.65456537538527,52.46655301870115,49.982649054747135,25.496431066072308,16.267473642566937,15.814696396125614,42.01645996582948,57.231330434176265,49.2426427613212,46.39718908170105,56.272919752490765,29.792027718171266,60.89700684288206,58.34255060728744
2019,53.60203563268996,60.37044395935539,56.71235599268866,50.49896310312254,25.7331036609415,17.57174483646318,16.712410597792825,46.13956476931063,60.56873545197303,52.276174116198206,51.11987450293786,59.27069327139471,31.927425993553552,61.22060415556739,62.03140704945992
2020,56.82162291853547,58.52313110747132,56.11961624793087,48.5907164227128,25.23662358139016,18.254283412174605,15.950508974181057,45.67506456534476,62.700581144528286,53.28542227927749,49.4628855338844,58.68577925950866,29.53313829205531,58.187476406897474,57.40438798427849
2021,65.00265913585501,62.99892409586239,60.66864486505615,56.995206991321936,28.761632601180725,20.83975657157016,17.817063492371393,47.8184359361385,69.35538345386904,56.78546133718308,52.44294874814172,62.53083907880187,33.30680098857102,65.8858263860785,63.47078816371681
2022,72.57630706748212,70.64878935657106,68.15788813547712,63.57829772364007,30.39208968395743,23.039110343899416,21.205096968910134,51.28976446450936,77.00402581274332,61.33835987690979,56.04193257767937,67.58978742929426,38.44487159358147,68.60337598693167,75.7877303431505
2023,73.40116705287409,70.48671075733148,69.10271290322581,64.46293393558305,32.30501862756188,25.197695486887003,21.47531616147387,53.14872897162928,73.28269160642078,61.705636497292645,58.33011447668636,68.19543214142035,40.62544799367472,71.45910668789809,79.46441897233201
