TIME_PERIOD,REF_AREA,value
2022,NLD,1365669.657
2013,NLD,833870.448
2018,NLD,1013551.966
2020,NLD,1091779.035
2017,NLD,959996.091
2021,NLD,1202303.642
2012,NLD,798429.438
2023,NLD,1376970.547
2016,NLD,905370.742
2019,NLD,1081370.591
2014,NLD,839056.086
2015,NLD,863433.891
1993,MEX,792462.834
1994,MEX,844950.715
1995,MEX,811682.194
1996,MEX,877940.788
2005,MEX,1403085.871
2006,MEX,1559647.572
2002,BRA,1716595.682
1999,BRA,1482057.413
2008,BRA,2559535.103
2010,BRA,2799325.236
2003,BRA,1770456.731
2022,BRA,4180229.776
2015,BRA,2989121.458
2017,BRA,2979309.946
2001,BRA,1640243.86
2020,BRA,3359777.233
2011,BRA,2970630.763
2021,BRA,3787769.508
2008,USA,14769862.0
2009,USA,14478067.0
2010,USA,15048971.0
2011,USA,15599732.0
1998,USA,9062817.0
1999,USA,9631172.0
2000,USA,10250952.0
2001,USA,10581929.0
2002,USA,10929108.0
1990,USA,5963144.0
1991,USA,6158129.0
1992,USA,6520327.0
1993,USA,6858559.0
1994,USA,7287236.0
1995,USA,7639749.0
1996,USA,8073122.0
1997,USA,8577552.0
2019,USA,21539982.0
2022,USA,26006893.0
2018,USA,20656516.0
2001,GBR,1650356.893
2020,GBR,3219068.6
1996,GBR,1276091.612
1997,GBR,1345090.985
2019,GBR,3335878.327
2014,GBR,2666663.773
2016,GBR,2892299.174
2018,GBR,3129647.768
2021,GBR,3416480.57
2000,GBR,1562408.657
2003,TUR,641097.253
2004,TUR,735785.837
2005,TUR,815102.371
2006,TUR,945292.204
2007,TUR,1043000.414
2008,TUR,1139548.436
2009,TUR,1112437.91
2010,TUR,1268554.367
2011,TUR,1454111.872
2021,TUR,2637030.616
2019,TUR,2350307.886
2012,TUR,1550688.484
2005,POL,531856.782
2006,POL,580057.163
1997,POL,346494.823
1998,POL,368079.515
1999,POL,389722.19
2000,POL,410090.825
2001,POL,427478.558
2007,POL,641715.871
2008,POL,700460.789
2009,POL,735948.856
2010,POL,798641.869
2011,POL,868166.155
2022,POL,1696649.961
2018,POL,1228297.627
2017,HRV,112713.391
2018,HRV,118822.321
2022,HRV,161780.804
2012,HRV,92109.908
2013,HRV,94976.376
2011,HRV,90730.805
2020,HRV,123672.839
2000,HRV,47686.777
2003,HRV,58927.529
2001,HRV,50109.143
2002,HRV,54958.798
2019,HRV,130583.67
1994,CHN,2002276.771
1995,CHN,2269782.727
1996,CHN,2541937.208
1997,CHN,2825928.918
1998,CHN,3084040.131
1999,CHN,3369671.202
2000,CHN,3741889.349
2001,CHN,4144198.72
2002,CHN,4597616.734
2003,CHN,5162768.314
2004,CHN,5838726.337
2005,CHN,6711788.8
2006,CHN,7795700.958
2007,CHN,9139882.776
2008,CHN,10216860.13
2009,CHN,11246461.603
2014,ESP,1568559.754
2016,ESP,1747415.896
2018,ESP,1918772.323
2005,ESP,1206123.179
2006,ESP,1365453.392
1995,SVN,27118.391
2014,CPV,3287.51
2016,CPV,3767.658
2018,CPV,4064.409
2010,CPV,3078.374
